Appleton Clinic,"Unite 301, 845 Wilson Ave",Clinic,Toronto,Ontario,ca,"43.7306653,-79.4647598",appletonclinics.com,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"Unit 501, 595 Montreal Rd",Clinic,Ottawa,Ontario,ca,"45.4427067,-75.6433766",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Harvest Medicine,"Unit 480, 5111 Northland Drive NW",Clinic,Calgary,Alberta,ca,"51.098413,-114.1437634",hmed.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Entourage Medical Clinic,"UNIT 4, 1447 Upper Ottawa Street",Clinic,Hamilton,Ontario,ca,"43.1959897,-79.8409391",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"Unit 311, 77 Queensway W",Clinic,Mississauga,Ontario,ca,"43.5727687,-79.6100712",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Marijuana For Trauma Inc,"Unit 3, 255 Restigouche Rd",Clinic,Oromocto,New New Brunswick,ca,"45.8400584,-66.4968447",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"Unit 3, 1883 Turner Rd",Clinic,Windsor,Ontario,ca,"42.3025884,-82.9961414",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"UNIT 209, 65 Larch Street",Clinic,Sudbury,Ontario,ca,"46.4910467,-80.9946405",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"Unit 209, 279 Wharncliffe Road N",Clinic,London,Ontario,ca,"42.9930922,-81.2651896",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
GrowWise Health,"Unit 207, 1366 Yonge Street",Clinic,Toronto,Ontario,ca,"43.6860466,-79.3934701",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
ARCANNABIS STORE,UNIT 205 - 225 SE Marine Dr,Retail Store,Vancouver,British Columbia,ca,"49.2112469,-123.1015758",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Canna Relief Consulting Canada,"Unit 202, 133 Queen St S",Clinic,Mississauga,Ontario,ca,"43.58335,-79.71576519999999",cannarelief420.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
CannApply Medical Services,"Unit 201, 5401 Temple Dr NE",Clinic,Calgary,Alberta,ca,"51.084946,-113.9574466",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Greencare Medical Clinic,"Unit 201, 4484 Main St",Clinic,Vancouver,British Columbia,ca,"49.2446916,-123.1010015",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Greenery Cannabis Boutique,Unit 201 - 2101 Harding Rd,Retail Store,Armstrong,British Columbia,ca,"50.4301769,-119.1839475",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Canadian Cannabis Clinics,"Unit 2, 885 Glasgow Street",Clinic,Kitchener,Ontario,ca,"43.4427522,-80.54163129999999",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"Unit 2, 80 King St",Clinic,St. Catharines,Ontario,ca,"43.158062,-79.245988",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canadian Cannabis Clinics,"Unit 1B, 227 Main Street North",Clinic,Markham,Ontario,ca,"43.8840442,-79.26136869999999",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Inspired Cannabis Co,Unit 1 - 5765 Turner Road,Retail Store,Nanaimo,British Columbia,ca,"49.2240112,-124.0346961",inspiredcannabis.ca,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
